bydel,barnehage,spot_litenavdeling,spot_storavdeling,barnehage_url,address,latitude,longitude,match_score,matched_official_name,name_match_score,barnehagefakta_url
Alna,Barneslottet barnehage,17,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/barneslottet-barnehage/,"Dr. Dedichens vei 22A, 0675 OSLO",59.924773978523,10.862727820137,1.0,Barneslottet barnehage,1.0000,https://barnehagefakta.no/barnehage/996797864/barneslottet-barnehage
Alna,Frydenlund,16,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/frydenlund-barnehage/,"Dragonstien 95, 1062 OSLO",59.937613731918,10.913579074442,0.97,Frydenlund barnehage,0.5417,https://barnehagefakta.no/barnehage/975317161/frydenlund-barnehage
Alna,Furustien barnehage,10,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/furustien-barnehage/,"Trygve Lies plass 4, 1051 OSLO",59.94087642497,10.8953824569,1.0,Furustien barnehage,1.0000,https://barnehagefakta.no/barnehage/975317145/furustien-barnehage
Alna,Gransbakken,13,5,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/gransbakken-barnehage/,"Gransdalen 22, 1054 Oslo",59.946355682795,10.900787269952,0.97,Gransbakken barnehage,0.5531,https://barnehagefakta.no/barnehage/893765832/gransbakken-barnehage
Alna,Gransletta barnehage,20,13,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/gransletta-barnehage/,"Gransdalen 35, 1054 Oslo",59.944490461075,10.897647663349,1.0,Gransletta barnehage,1.0000,https://barnehagefakta.no/barnehage/975317137/gransletta-barnehage
Alna,Haugenstien,12,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/haugenstien-barnehage/,"Gransdalen 20, 1054 Oslo",59.946355682795,10.900787269952,0.97,Haugenstien barnehage,0.5531,https://barnehagefakta.no/barnehage/918871217/haugenstien-barnehage
Alna,Haugerud sentrum barnehage,13,10,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/haugerud-sentrum-barnehage/,"Haugerudsenteret 45, 0673 Oslo",59.921827531489,10.858048789129,1.0,Haugerud sentrum barnehage,1.0000,https://barnehagefakta.no/barnehage/975291421/haugerud-sentrum-barnehage
Alna,Havnehagen barnehage,9,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/havnehagen-barnehage/,"Lindebergveien 59, 1069 Oslo",59.931820252377,10.879242134167,1.0,Havnehagen barnehage,1.0000,https://barnehagefakta.no/barnehage/992552980/havnehagen-barnehage
Alna,Hellerud Barnehage,8,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hellerud-barnehage/,"Landeroveien 1, 0672 Oslo",59.915825515533,10.855656172336,1.0,Hellerud Barnehage,1.0000,https://barnehagefakta.no/barnehage/974824299/hellerud-barnehage
Alna,Hellerudtoppen barnehage,3,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hellerudtoppen-barnehage/,"Hellerudgrenda 52, 0672 Oslo",59.910797109367,10.859893197936,1.0,Hellerudtoppen barnehage,1.0000,https://barnehagefakta.no/barnehage/973483617/hellerudtoppen-barnehage
Alna,Jeriko private barnehage,3,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/jeriko-private-barnehage/,"Jerikoveien 65, 1067 OSLO",59.93508719918,10.888841391222,1.0,Jeriko private barnehage,1.0000,https://barnehagefakta.no/barnehage/989933973/klofterhagen-barnehage-as
Alna,Karihaugen,12,9,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/karihaugen-barnehage/,"Harald Sohlbergs vei 10, 1064 OSLO",59.9354005,10.9216895,0.97,Karihaugen barnehage,0.5417,https://barnehagefakta.no/barnehage/975297934/karihaugen-barnehage
Alna,Karlstua barnehage,7,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/karlstua-barnehage/,"Hagapynten 5, 0673 OSLO",59.929445708919,10.885643068105,1.0,Karlstua barnehage,1.0000,https://barnehagefakta.no/barnehage/975297950/karlstua-barnehage
Alna,Kløfterhagen barnehage,2,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/klofterhagen-private-barnehage/,"Jerikoveien 65, 1067 OSLO",59.93508719918,10.888841391222,0.97,Kløfterhagen private barnehage,0.7987,https://barnehagefakta.no/barnehage/989933973/klofterhagen-barnehage-as
Alna,Knøttene familiebarnehage,2,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/knottene-familiebarnehage/,"Lindebergåsen 33, 1071 OSLO",59.929349503449,10.87487914372,1.0,Knøttene familiebarnehage,1.0000,https://barnehagefakta.no/barnehage/990726035/knottene-familiebarnehage-bydel-alna-as
